declare             	29   	DECLARE             	NaN       	DECLARESTMT         	Yes	                    	
----                	1    	DECLARESTMT         	NaN       	STATEMENT           	No 	DECLARESTMT         	
A                   	29   	ID                  	NaN       	IDLIST              	Yes	                    	
----                	1    	IDLIST              	NaN       	DECLARESTMT         	No 	IDLIST              	
----                	1    	EPS                 	NaN       	N3                  	Yes	                    	
----                	1    	N3                  	NaN       	IDLIST              	No 	N3                  	
:                   	29   	COLON               	NaN       	DECLARESTMT         	Yes	                    	
array               	29   	ARRAY               	NaN       	DATATYPE            	Yes	                    	
----                	1    	DATATYPE            	NaN       	DECLARESTMT         	No 	DATATYPE            	
[                   	29   	SQBO                	NaN       	DATATYPE            	Yes	                    	
1                   	29   	NUM                 	1         	INDEX               	Yes	                    	
----                	1    	INDEX               	NaN       	RANGE_ARRAYS        	No 	INDEX               	
----                	1    	RANGE_ARRAYS        	NaN       	DATATYPE            	No 	RANGE_ARRAYS        	
..                  	29   	RANGEOP             	NaN       	RANGE_ARRAYS        	Yes	                    	
15                  	29   	NUM                 	15        	INDEX               	Yes	                    	
----                	1    	INDEX               	NaN       	RANGE_ARRAYS        	No 	INDEX               	
]                   	29   	SQBC                	NaN       	DATATYPE            	Yes	                    	
of                  	29   	OF                  	NaN       	DATATYPE            	Yes	                    	
real                	29   	REAL                	NaN       	TYPE                	Yes	                    	
----                	1    	TYPE                	NaN       	DATATYPE            	No 	TYPE                	
;                   	29   	SEMICOL             	NaN       	DECLARESTMT         	Yes	                    	
----                	1    	STATEMENT           	NaN       	STATEMENTS          	No 	STATEMENT           	
----                	1    	STATEMENTS          	NaN       	MODULEDEF           	No 	STATEMENTS          	
declare             	30   	DECLARE             	NaN       	DECLARESTMT         	Yes	                    	
----                	1    	DECLARESTMT         	NaN       	STATEMENT           	No 	DECLARESTMT         	
k                   	30   	ID                  	NaN       	IDLIST              	Yes	                    	
----                	1    	IDLIST              	NaN       	DECLARESTMT         	No 	IDLIST              	
----                	1    	EPS                 	NaN       	N3                  	Yes	                    	
----                	1    	N3                  	NaN       	IDLIST              	No 	N3                  	
:                   	30   	COLON               	NaN       	DECLARESTMT         	Yes	                    	
integer             	30   	INTEGER             	NaN       	DATATYPE            	Yes	                    	
----                	1    	DATATYPE            	NaN       	DECLARESTMT         	No 	DATATYPE            	
;                   	30   	SEMICOL             	NaN       	DECLARESTMT         	Yes	                    	
----                	1    	STATEMENT           	NaN       	STATEMENTS          	No 	STATEMENT           	
----                	1    	STATEMENTS          	NaN       	STATEMENTS          	No 	STATEMENTS          	
declare             	31   	DECLARE             	NaN       	DECLARESTMT         	Yes	                    	
----                	1    	DECLARESTMT         	NaN       	STATEMENT           	No 	DECLARESTMT         	
s                   	31   	ID                  	NaN       	IDLIST              	Yes	                    	
----                	1    	IDLIST              	NaN       	DECLARESTMT         	No 	IDLIST              	
----                	1    	EPS                 	NaN       	N3                  	Yes	                    	
----                	1    	N3                  	NaN       	IDLIST              	No 	N3                  	
:                   	31   	COLON               	NaN       	DECLARESTMT         	Yes	                    	
real                	31   	REAL                	NaN       	DATATYPE            	Yes	                    	
----                	1    	DATATYPE            	NaN       	DECLARESTMT         	No 	DATATYPE            	
;                   	31   	SEMICOL             	NaN       	DECLARESTMT         	Yes	                    	
----                	1    	STATEMENT           	NaN       	STATEMENTS          	No 	STATEMENT           	
----                	1    	STATEMENTS          	NaN       	STATEMENTS          	No 	STATEMENTS          	
get_value           	32   	GET_VALUE           	NaN       	IOSTMT              	Yes	                    	
----                	1    	IOSTMT              	NaN       	STATEMENT           	No 	IOSTMT              	
(                   	32   	BO                  	NaN       	IOSTMT              	Yes	                    	
k                   	32   	ID                  	NaN       	IOSTMT              	Yes	                    	
)                   	32   	BC                  	NaN       	IOSTMT              	Yes	                    	
;                   	32   	SEMICOL             	NaN       	IOSTMT              	Yes	                    	
----                	1    	STATEMENT           	NaN       	STATEMENTS          	No 	STATEMENT           	
----                	1    	STATEMENTS          	NaN       	STATEMENTS          	No 	STATEMENTS          	
----                	1    	EPS                 	NaN       	OPTIONAL            	Yes	                    	
----                	1    	OPTIONAL            	NaN       	MODULEREUSESTMT     	No 	OPTIONAL            	
----                	1    	MODULEREUSESTMT     	NaN       	SIMPLESTMT          	No 	MODULEREUSESTMT     	
use                 	33   	USE                 	NaN       	MODULEREUSESTMT     	Yes	                    	
module              	33   	MODULE              	NaN       	MODULEREUSESTMT     	Yes	                    	
readArr             	33   	ID                  	NaN       	MODULEREUSESTMT     	Yes	                    	
----                	1    	WITH                	NaN       	MODULEREUSESTMT     	Yes	                    	
----                	1    	PARAMETERS          	NaN       	MODULEREUSESTMT     	Yes	                    	
s                   	34   	ID                  	NaN       	IDLIST              	Yes	                    	
----                	1    	IDLIST              	NaN       	MODULEREUSESTMT     	No 	IDLIST              	
----                	1    	EPS                 	NaN       	N3                  	Yes	                    	
----                	1    	N3                  	NaN       	IDLIST              	No 	N3                  	
;                   	34   	SEMICOL             	NaN       	MODULEREUSESTMT     	Yes	                    	
----                	1    	SIMPLESTMT          	NaN       	STATEMENT           	No 	SIMPLESTMT          	
----                	1    	STATEMENT           	NaN       	STATEMENTS          	No 	STATEMENT           	
----                	1    	STATEMENTS          	NaN       	STATEMENTS          	No 	STATEMENTS          	
s                   	35   	ID                  	NaN       	ASSIGNMENTSTMT      	Yes	                    	
----                	1    	ASSIGNMENTSTMT      	NaN       	SIMPLESTMT          	No 	ASSIGNMENTSTMT      	
:=                  	35   	ASSIGNOP            	NaN       	LVALUEIDSTMT        	Yes	                    	
----                	1    	LVALUEIDSTMT        	NaN       	WHICHSTMT           	No 	LVALUEIDSTMT        	
s                   	35   	ID                  	NaN       	VAR_ID_NUM          	Yes	                    	
----                	1    	VAR_ID_NUM          	NaN       	FACTOR              	No 	VAR_ID_NUM          	
----                	1    	EPS                 	NaN       	WHICHID             	Yes	                    	
----                	1    	WHICHID             	NaN       	VAR_ID_NUM          	No 	WHICHID             	
----                	1    	FACTOR              	NaN       	TERM                	No 	FACTOR              	
----                	1    	TERM                	NaN       	ARITHMETICEXPR      	No 	TERM                	
----                	1    	EPS                 	NaN       	N5                  	Yes	                    	
----                	1    	N5                  	NaN       	TERM                	No 	N5                  	
----                	1    	ARITHMETICEXPR      	NaN       	ANYTERM             	No 	ARITHMETICEXPR      	
----                	1    	EPS                 	NaN       	N4                  	Yes	                    	
----                	1    	N4                  	NaN       	ARITHMETICEXPR      	No 	N4                  	
----                	1    	ANYTERM             	NaN       	ARITHMETICORBOOLEANEXPR	No 	ANYTERM             	
<=                  	35   	LE                  	NaN       	RELATIONALOP        	Yes	                    	
----                	1    	RELATIONALOP        	NaN       	N8                  	No 	RELATIONALOP        	
----                	1    	N8                  	NaN       	ANYTERM             	No 	N8                  	
n                   	35   	ID                  	NaN       	VAR_ID_NUM          	Yes	                    	
----                	1    	VAR_ID_NUM          	NaN       	FACTOR              	No 	VAR_ID_NUM          	
----                	1    	EPS                 	NaN       	WHICHID             	Yes	                    	
----                	1    	WHICHID             	NaN       	VAR_ID_NUM          	No 	WHICHID             	
----                	1    	FACTOR              	NaN       	TERM                	No 	FACTOR              	
----                	1    	TERM                	NaN       	ARITHMETICEXPR      	No 	TERM                	
----                	1    	EPS                 	NaN       	N5                  	Yes	                    	
----                	1    	N5                  	NaN       	TERM                	No 	N5                  	
----                	1    	ARITHMETICEXPR      	NaN       	N8                  	No 	ARITHMETICEXPR      	
----                	1    	EPS                 	NaN       	N4                  	Yes	                    	
----                	1    	N4                  	NaN       	ARITHMETICEXPR      	No 	N4                  	
>=                  	35   	GE                  	NaN       	RELATIONALOP        	Yes	                    	
----                	1    	RELATIONALOP        	NaN       	N8                  	No 	RELATIONALOP        	
----                	1    	N8                  	NaN       	N8                  	No 	N8                  	
k                   	35   	ID                  	NaN       	VAR_ID_NUM          	Yes	                    	
----                	1    	VAR_ID_NUM          	NaN       	FACTOR              	No 	VAR_ID_NUM          	
----                	1    	EPS                 	NaN       	WHICHID             	Yes	                    	
----                	1    	WHICHID             	NaN       	VAR_ID_NUM          	No 	WHICHID             	
----                	1    	FACTOR              	NaN       	TERM                	No 	FACTOR              	
----                	1    	TERM                	NaN       	ARITHMETICEXPR      	No 	TERM                	
----                	1    	EPS                 	NaN       	N5                  	Yes	                    	
----                	1    	N5                  	NaN       	TERM                	No 	N5                  	
----                	1    	ARITHMETICEXPR      	NaN       	N8                  	No 	ARITHMETICEXPR      	
----                	1    	EPS                 	NaN       	N4                  	Yes	                    	
----                	1    	N4                  	NaN       	ARITHMETICEXPR      	No 	N4                  	
----                	1    	EPS                 	NaN       	N8                  	Yes	                    	
----                	1    	N8                  	NaN       	N8                  	No 	N8                  	
----                	1    	ARITHMETICORBOOLEANEXPR	NaN       	EXPRESSION          	No 	ARITHMETICORBOOLEANEXPR	
----                	1    	EPS                 	NaN       	N7                  	Yes	                    	
----                	1    	N7                  	NaN       	ARITHMETICORBOOLEANEXPR	No 	N7                  	
----                	1    	EXPRESSION          	NaN       	LVALUEIDSTMT        	No 	EXPRESSION          	
